,ts,device,val
9166,1540540330692,area2,673256.1056502457
9167,1540540331599,area1,347090.0080921064
9168,1540540331944,area2,673256.1180817799
9169,1540540332944,area2,673256.1282721912
9170,1540540333178,area1,347090.01470490004
9171,1540540333741,area2,673256.1364400897
9172,1540540333866,area1,347090.0181631712
9173,1540540334616,area2,673256.1445045065
9174,1540540335288,area1,347090.0274908112
9175,1540540335712,area1,347090.0313614272
9176,1540540335962,area2,673256.1585956896
9177,1540540337121,area1,347090.040001036
9178,1540540337184,area2,673256.1704522657
9179,1540540341472,area1,347090.0586966184
9180,1540540341659,area2,673256.2174423856
9181,1540540342737,area1,347090.0624011736
9182,1540540343927,area2,673256.2399009818
9183,1540540343880,area2,673256.2399009818
9184,1540540344334,area2,673256.24417096
9185,1540540344724,area1,347090.0701773384
9186,1540540344818,area1,347090.0701773384
9187,1540540345696,area2,673256.2589837856
9188,1540540346340,area1,347090.0767457512
9189,1540540346387,area2,673256.2648826375
9190,1540540346750,area1,347090.0779662241
9191,1540540346906,area2,673256.2708967288
9192,1540540347437,area1,347090.0802170857
9193,1540540347922,area1,347090.08307888237
9194,1540540348015,area2,673256.2814132352
9195,1540540349047,area2,673256.2938427632
9196,1540540348781,area1,347090.086647532
9197,1540540349718,area2,673256.2999264937
9198,1540540349625,area1,347090.0897554504
9199,1540540350609,area1,347090.0936710216
9200,1540540350656,area2,673256.3095880504
9201,1540540350984,area1,347090.0961924488
9202,1540540351266,area2,673256.315760372
9203,1540540352375,area2,673256.3257599073
9204,1540540352156,area1,347090.10711013764
9205,1540540352547,area2,673256.3277393719
9206,1540540352750,area2,673256.3297426433
9207,1540540353250,area1,347090.1142989128
9208,1540540354391,area1,347090.1182448864
9209,1540540354531,area1,347090.1188807336
9210,1540540354875,area2,673256.3517583809
9211,1540540355500,area2,673256.357753232
9212,1540540355672,area1,347090.1235292664
9213,1540540356266,area1,347090.1260344144
9214,1540540356297,area2,673256.365647432
9215,1540540356500,area2,673256.3677031032
9216,1540540356781,area1,347090.1277925968
9217,1540540357375,area2,673256.3761365815
9218,1540540358437,area1,347090.1347960848
9219,1540540358859,area2,673256.3924967712
9220,1540540359062,area2,673256.3944675056
9221,1540540359328,area1,347090.13848212076
9222,1540540359705,area1,347090.1399460688
9223,1540540360256,area2,673256.4063191705
9224,1540540360444,area1,347090.1422960896
9225,1540540361381,area1,347090.1459476392
9226,1540540361494,area2,673256.4186662657
9227,1540540362025,area1,347090.14809473924
9228,1540540362603,area2,673256.4283960584
9229,1540540363275,area2,673256.4361724752
9230,1540540363385,area1,347090.1536222984
9231,1540540364088,area1,347090.15659214876
9232,1540540364244,area2,673256.44650328
9233,1540540365041,area2,673256.4547959905
9234,1540540365353,area1,347090.161674336
9235,1540540366216,area2,673256.4649702975
9236,1540540366311,area1,347090.16576463124
9237,1540540366686,area1,347090.1672722056
9238,1540540367530,area2,673256.4790443943
9239,1540540367921,area1,347090.1785098721
9240,1540540368439,area2,673256.4890092368
9241,1540540370708,area1,347090.1944289208
9242,1540540368958,area2,673256.493124336
9243,1540540369067,area1,347090.18779039604
9244,1540540370021,area1,347090.1914601784
9245,1540540370505,area2,673256.5099067079
9246,1540540371209,area2,673256.51602058
9247,1540540371974,area1,347090.19914210483
9248,1540540372552,area2,673256.5301325272
